,acc_class
0,0.0
1,0.04
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.02
12,0.02
13,0.12
14,0.18
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.02
22,0.08
23,0.18
24,0.0
25,0.02
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.02
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.02
39,0.06
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.02
46,0.0
47,0.02
48,0.0
49,0.0
50,0.04
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.02
65,0.02
66,0.0
67,0.0
68,0.0
69,0.02
70,0.0
71,0.0
72,0.0
73,0.0
74,0.04
75,0.02
76,0.0
77,0.0
78,0.06
79,0.0
80,0.0
81,0.02
82,0.02
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.02
95,0.0
96,0.0
97,0.04
98,0.0
99,0.0
100,0.06
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.06
107,0.0
108,0.0
109,0.02
110,0.0
111,0.0
112,0.02
113,0.0
114,0.0
115,0.02
116,0.0
117,0.0
118,0.0
119,0.0
120,0.02
121,0.0
122,0.0
123,0.0
124,0.0
125,0.02
126,0.0
127,0.0
128,0.06
129,0.02
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.02
140,0.0
141,0.0
142,0.0
143,0.04
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.02
164,0.0
165,0.02
166,0.0
167,0.0
168,0.02
169,0.02
170,0.02
171,0.0
172,0.06
173,0.02
174,0.02
175,0.0
176,0.0
177,0.0
178,0.04
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.08
187,0.0
188,0.0
189,0.0
190,0.0
191,0.02
192,0.0
193,0.02
194,0.0
195,0.0
196,0.06
197,0.0
198,0.0
199,0.04
